粵語,標準漢語1,標準漢語2
笑話,使人發笑的事,
笑口噬噬,咧大嘴笑,笑哈哈
笑笑口,笑眯眯地,
笑面,假面具,
紹酒,(不是粵方言詞),
肇菜,(不是粵方言詞),
嬌嗲,(不是粵方言詞),
叫起手,想要用的時候,
叫開叫埋,使喚,
菜,薤,
頭,五柳料之一,
撬針,(不是粵方言詞),
撬牆腳,(不是粵方言詞),
轎,轎子,
轎衣,青衣轎的布簾,
轎兜,(沒有對應詞彙),
轎佬,轎夫,
僑,洋氣,
橋,橋梁,
橋架,計謀,辦法
橋墩,支架橋梁的墩子,
橋段,劇情結構,
繑,纏,繞
繑絲邊,絞絲旁,
竅,巧合,恰巧
竅妙,不合常規,
曉,會,有能力
翹,一端向上仰起,
妖孽,造孽,
腰帎,圍帎,
腰枕,圓柱形枕頭,
腰骨痕,該挨打了,
腰骨硬,耿介,有骨氣
腰骨戙戙,形容坐得正,
搖,(不是粵方言詞),
搖身搖勢,身子搖來搖去,
要,(不是粵方言詞),
要面,要面子,
堆,(不是粵方言詞),
堆堆疊疊,物品堆積貌,
碓頭,碓接觸米的部分,
對家,(不是粵方言詞),
對開,(不是粵方言詞),
對頭,(不是粵方言詞),
對頭,(不是粵方言詞),
對勼,(不是粵方言詞),
對路,(不是粵方言詞),
對辦,(不是粵方言詞),
對拳拳,(不是粵方言詞),
對稱,(不是粵方言詞),
對上,(不是粵方言詞),
對胸衫,(不是粵方言詞),
對落,(不是粵方言詞),
隊,(不是粵方言詞),
推,(不是粵方言詞),
推牌九,(不是粵方言詞),
推人落井,喻陷害別人,
推剪,推子,理髮工具之一
推搪,推委,
退,退燒,退熱
女,女兒,
女仔之家,女孩子家,女兒家
女婿,(不是粵方言詞),
女人,女性,
女人之家,女人家,婦人家
,頭朝下跌倒,栽倒
雷公,雷,俗指雷神
雷公轟,(沒有對應詞彙),
雷公鑿,(沒有對應詞彙),
蕾,(沒有對應詞彙),
擂,擊,打
擂臺,舊時比武的場所,
驢,哺乳動物,
驢仔,喻勞苦受累者,
呂宋煙,雪茄煙,
呂宋芒,優質芒果,
旅館,(不是粵方言詞),
裏,裏面,內部
裏底,裏頭,裏邊
裏帔,(沒有對應詞彙),
裏頭,裏邊兒,
鋁鑊,鋁質炒菜鍋,
累,(不是粵方言詞),
累世,長期倒霉,
累人累物,害苦了別人,拖累別人
纍贅,拖累,麻煩
追,(不是粵方言詞),
追瘦,務必追及,
追月,中秋節次晚,
疽,(不是粵方言詞),
蛆,(不是粵方言詞),
錐,錐子,
嘴,(不是粵方言詞),
嘴歛歛,(不是粵方言詞),
嘴尖尖,(不是粵方言詞),
嘴滑,(不是粵方言詞),
最,(不是粵方言詞),
最多唔係,大不了,充其量還不是
醉,(沒有對應詞彙),
醉貓,(戲指)好喝酒者,醉漢
醉酒佬,醉漢,醉鬼
醉酒公仔,不倒翁,玩具
醉翁椅,(沒有對應詞彙),
贅氣,話多,饒舌
聚寶盆,(不是粵方言詞),
聚集,(不是粵方言詞),
聚腳,(不是粵方言詞),
墜火,(不是粵方言詞),
墜火粥,(不是粵方言詞),
墜手墜腳,(不是粵方言詞),
吹打,嗩吶的俗稱,
吹唔脹,奈何不了,無可奈何
吹爆,氣死了,
吹鬚睩眼,吹鬍子瞪眼,
吹番,吹肥皂泡,
吹脹,氣壞了,
催,(不是粵方言詞),
催妝,催新娘上轎,
趨時,時髦(的舊稱),入時
除,去掉,
除褲隔渣,形容吝嗇鬼,
除大赤腳,光大腳丫子,不穿鞋襪
除笨有精,吃小虧佔大便宜,
除,(沒有對應詞彙),
除拆,除掉,
捶心抌肺,捶打自己的胸部,
捶胸腳,捶胸頓足,
隨,任,由
隨街,滿街,到處
廚房,(不是粵方言詞),
廚房佬,(不是粵方言詞),
錘,錘子,
錘頭,戲指拳頭,
娶,(不是粵方言詞),
脆,(不是粵方言詞),
脆皮,皮脆,皮兒薄
脆卜卜,形容脆裂的聲音,
趣致,有趣,逗人喜歡
趣怪,活潑有趣,討人喜歡
趣趣地,些微,很少
衰,差,次
衰野,破玩藝兒,破東西
衰仔,渾小子,小壞蛋
衰鬼,(沒有對應詞彙),
衰到唔使欿,壞透了,次透了
衰到貼地,壞到家了,缺德帶冒煙兒
衰神,壞蛋,壞家伙
衰樣,壞樣兒,倒霉樣兒
垂,注意,防範
水瓜,無棱絲瓜,
水□□,滴答(嘀)水,
水蛇腰,(不是粵方言詞),
水靴,高筒雨鞋,雨靴
水磨磚,(沒有對應詞彙),
水過鴨背,(喻)善忘,(喻)健忘
水,(沒有對應詞彙),
水柿,牛心柿,
水廁,抽水馬桶,
水魚,鱉,甲魚
水牌,小牌子,菜牌
水渧渧,水淋淋,滴答(嘀嗒)水
水鬼人情,白做的人情,
水尾,(沒有對應詞彙),
水尾野,次貨,剩貨
水氣,潮濕氣,濕氣
水,(沒有對應詞彙),
水泡,水,水痘
水餃,(不是粵方言詞),
水豆腐,(沒有對應詞彙),
水頭,指錢鈔,錢
水手裝,海軍裝,
水勼油,(沒有對應詞彙),
水喉,水龍頭,
水喉水,自來水,
水喉鐵,鐵水管,
水槽,泄水管,
水草,鹹水草,
水退,退潮,落潮
水泵,(不是粵方言詞),
水,水坑,小水窪
水浸,遭水災,鬧水災
水垽,水,水
水印,(沒有對應詞彙),
水乾,潮水退盡,退潮
水,水桶,
水坑,大的排水明溝,
水靜河飛,形容冷冷清清,
水,(沒有對應詞彙),
水缸,(不是粵方言詞),
水蕹,水中種的蕹菜,
水鴨,(沒有對應詞彙),
水,(沒有對應詞彙),
水,龍蝨,龍虱
水筆,墨水筆,自來水筆
水客,走水客,水路走私者
水積,水,水垢
水腳,運貨的費用,船費
水落,退潮,水退
水殼,水舀子,瓢
穗,(沒有對應詞彙),
碎,破碎的,不完整的
碎紙,零票,低面值紙幣
碎碎,(東西)又碎又細,小的
碎淫淫,(東西)細碎,
碎銀,指小塊銀子,半角
碎錢,舊時的制錢,民國時低面值錢幣
歲口,(牲畜)年齡,
繐,繐子,
睡椅,(不是粵方言詞),
睡鋪,(不是粵方言詞),
睡房,(不是粵方言詞),
舉薦,推薦,
拘,(不是粵方言詞),
拘禮,(不是粵方言詞),
拘執,(不是粵方言詞),
佢,他,她
佢地,他們,她們
虛底,身體虛弱,底子虛
虛浮,身體虛,身體不好
去見周公,睡了,
去濕,去除濕氣,
錐,捅,杵
錐耳,耳孔,
錐鞋,縫補鞋,
,仰起頭,
天望地,(沒有對應詞彙),
擔,用肩挑,搬動
擔茶,過禮的俗稱,結婚三天後
擔大旗,扛大旗,
擔雞,發瘧疾,發冷
擔保信,掛號信,
擔旛,出殯時孝子打旛,
擔餅,(沒有對應詞彙),
擔認,承擔,承認
擔當,承擔(責任),
擔綱,挑大梁,當主力
膽,動物的膽囊,
膽粗,膽大,有膽量
膽生毛,很有膽量,大膽
膽生石,膽結石症,膽結石
膽正命平,為正義不怕死,
擔,擔子,
擔挑,扁擔,擔竿
倓定,態度斯文,恬靜
淡市,生意不好,買賣不興旺
淡月,(不是粵方言詞),
啖,口,
貪,(不是粵方言詞),
貪識食,講享受,講究吃穿
貪頭,貪圖之物,
貪口爽,隨口說玩,順口答應而不去做
貪瀟湘,貪圖身材窈窕,
貪靚,愛美,
貪得意,圖好玩、有趣,鬧玩兒
痰上頸,痰涌上來,
燂,熟食再加熱,略燒一下
淡,(不是粵方言詞),
淡過蔗尾,喻人情淡薄,
淡茂茂,味不夠濃,
淡口,微鹹適口,
淡汗,虛汗,
淡瀎瀎,味淡,味道不濃
探,(不是粵方言詞),
探熱,量體溫,
探脈,號脈,切脈
男仔頭,男孩子,男青年
男人婆,(沒有對應詞彙),
男人佬耇,男子漢大丈夫,大男人
南華李,(沒有對應詞彙),
南乳,(沒有對應詞彙),
南乳肉,五香花生仁兒,五香花生仁
南拳,(沒有對應詞彙),
南洋伯,(沒有對應詞彙),
南風窗,(沒有對應詞彙),
南北行,(沒有對應詞彙),
蚺蛇,大蟒蛇,
喃無,念經,
腩,腹部鬆軟的肉,
腩尾,(沒有對應詞彙),
腩頭,豬腹部的五花肉,
婪劣,貪心重,貪婪
藍,晴空的顏色,
藍靛紙,複寫紙,
藍藥水,紫藥水,甲基紫溶液
藍,籃子或籃形物,
籃耳,籃子的提梁,
攬,抱,摟
攬頭,包攬事務的人,
攬頭攬髻,攬頭攬頸,
攬身攬勢,摟摟抱抱的樣子,摟摟抱抱
欖,橄欖,
欖仁,黑橄欖核中的仁,
欖角,欖豉,(腌製的)烏欖
纜,船纜,
斬,砍,割
斬雞頭換雞腳,偷龍轉鳳,移花接木
斬頭,砍頭,斬首
斬頭截尾,掐頭去尾,
斬料,買燒烤肉食,
斬纜,(沒有對應詞彙),
斬件,斬切成塊狀,
蹔眉蹔眼,擠眉弄眼,
蹔眼,眨眼,
蹔眼公仔,會開合眼的娃娃,
篸,納(鞋底),
站,(不是粵方言詞),
蹔,眨(眼),閃
劖亂歌柄,岔亂歌柄,柵亂歌柄
鏨刀,雕刻用的刀,
參詳,考慮,斟酌
欃,箕,
蠶,家蠶,
蠶豆,胡豆,
蠶春,蠶卵,
蠶蟲,蠶,蠶的幼蟲
慘,(不是粵方言詞),
,刺入肉中,
杉,杉木,
衫,(不是粵方言詞),
衫衩,(沒有對應詞彙),
衫架,衣架,
衫褲,衣服的總稱,
衫襬,下襬,
衫帔,前襟,
衫尾,衣角,
衫裏,衣服的裏子,
衫袋,衣兜,(上衣的)兜兒
衫裙,連衣裙,布拉吉(外)
衫領,衣領,
衫腳,衣服下襬,
三個骨,四分之三,
三九唔識七,誰也不認識誰,
三口六面,三頭對案,
三步埋兩步,三步並作兩步,
三朝,指結婚後第三天,
三歲定八十,三歲看老,
三板斧,本領不高,本事不大
三寸釘,矬子(方),小矮個兒
三長兩短,(不是粵方言詞),
三行,(沒有對應詞彙),
三及第,(沒有對應詞彙),
三日兩頭,經常,三天兩頭地
三畫王,"指""""王""""字",
三腳貓,(沒有對應詞彙),
三腳凳,喻靠不住的東西,指小陷阱
三幅被,老一套,老花樣
監,(不是粵方言詞),
監頭,(不是粵方言詞),
監犯,(不是粵方言詞),
監墩,(不是粵方言詞),
監房,(不是粵方言詞),
監倉,(不是粵方言詞),
監,(不是粵方言詞),
監人賴厚,(不是粵方言詞),
減,減少,減價
減筆字,簡體字,
監粗來,(不是粵方言詞),
監生,(不是粵方言詞),
監生埋,(不是粵方言詞),
監平賣,(不是粵方言詞),
監熱食,(不是粵方言詞),
牙,談得投機,合得來
晒,全對,正合適
偈,合得來,投合
數,不多不少,正合適
竅,談得來,相投
,剛剛,剛好
心水,合意,合心意
身,合身,
先,剛才,方才
碞儳,(不是粵方言詞),
鹹,鹽味,
鹹蝦,蝦醬,腌蝦醬
鹹苦,艱辛,苦日子
鹹菜,鹹酸菜,
鹹脆花生,帶殼炒熟的花生,
鹹水,香港的,洋的
鹹水話,洋涇英語,
鹹水貨,指走私貨,
鹹水歌,(沒有對應詞彙),
鹹水草,水草,
鹹淡,泛指菜肴類,
鹹乾花生,(沒有對應詞彙),
鹹煎餅,油香餅,油餅
鹹,總稱下飯的小菜,
鹹濕,淫穢,下流
喊,哭,
喊四句,(沒有對應詞彙),
喊包,戲稱愛哭的孩子,
喊口,愛哭,
喊口婆,代人哭喪的婦女,
喊驚,叫魂,
餡,兒,
染,蘸,
泵,(不是粵方言詞),
耽,(不是粵方言詞),
耽時候,拖時間,
耽人,耽誤別人,
耽日子,捱日子,
抌,扔,拋
抌心口,捶胸口,
地,跺腳,以足頓地
趯,地跑,
腳,跺腳,
,小坑,小池子
恁,考慮,
恁住,準備,
恁計,想計策,想辦法
恁頭,念頭,想法
恁掂,想通,
恁真,想清楚,仔細考慮
恁落,細想一下,
恁縮數,想少花錢,
腍,煮得爛熟,酥軟
腍善,和善,
淰,筆尖上(墨水)蘸得太飽,
淰筆,指捐錢捐多些,
淰瀼,(衣服)吸水過多貌,
,蕾,蓓蕾
,花朵萎謝垂下貌,半張開半收攏貌
弓頭,(漢字偏旁)寶蓋頭,
惏,撩撥,
惏心,(沒有對應詞彙),
,用言語使人聽從,
,語言煩瑣,囉唆
淋,(不是粵方言詞),
淋淋瀋瀋,瑣瑣碎碎,各式各樣
淋瀋,事情,物件
淋擒,喉急,狼吞虎咽
臨天光瀨尿,喻全盤皆失,
臨急臨忙,早不準備,
臨帖,照字帖習字,
罧人堆,形容人山人海,
罧人山,疊羅漢的俗稱,
針,(沒有對應詞彙),
針口,(沒有對應詞彙),
針嘴,注射器的針尖,
針,(沒有對應詞彙),
針黹,針活兒,
針眼,針鼻兒,針鼻
針嘜,自卷紙,
針腳,(不是粵方言詞),
砧板,(不是粵方言詞),
枕,枕頭,
枕頭,(不是粵方言詞),
枕頭袋,枕頭套,
枕頭狀,(沒有對應詞彙),
枕,(沒有對應詞彙),
浸,泡,
浸酒,釀酒,
沉豬籠,(沒有對應詞彙),
沉底,(不是粵方言詞),
朕,股,陣
浸,加進去,混入
浸水,對水,加水
沉實,踏實,實在
尋晚,昨天晚上,
尋晚黑,昨天晚上,
尋日,昨天,
尋日朝,昨天早上,
諃氣,嘮叨不止,
諃贅,囉唆,
參,(不是粵方言詞),
心掛掛,老想,心中牽掛
心火盛,煩躁,生氣上火
心多,心眼兒多,
心多多,三心二意,
心知肚明,心中明白,心照不宣
心思思,(沒有對應詞彙),
心大心細,三心二意,拿不定主意
心翳,胸悶,
心地,(不是粵方言詞),
心機,心思,心緒
心灰,灰心,心灰意懶
心頭高,心氣高,志向高
心口針,胸針,
心照,(不是粵方言詞),
心水,心意,心思
心水清,情緒平靜,頭腦清醒
心甘,心中情願,甘心
心甜,心中痛快,心裏舒暢
心滾,怒火沸騰,
心肝,意向,心思
心肝命椗,(沒有對應詞彙),
心驚膽跳,心驚膽戰,心驚肉跳
心涼,心中痛快,
心痛,愛惜,珍愛
心實,憂慮,
心息,灰心,死心
心足,心中滿足,心滿意足
心,動了心,有意
深睛凸額,形容人長得醜,
糝,撒,
嬸,嬸嬸,
嬏母,妯娌,
金,黃金,金子
金牛,(喻)貴重之物,
金山,(沒有對應詞彙),
金山丁,(沒有對應詞彙),
金山伯,(沒有對應詞彙),
金,(沒有對應詞彙),
柑,(不是粵方言詞),
今個月,這個月,
今勻,這次,此次
金,金色,
金笸籮,(沒有對應詞彙),
金字架,(沒有對應詞彙),
金魚茜,(沒有對應詞彙),
金魚黃,桔紅色,
金雞,(沒有對應詞彙),
金雞瓦,(沒有對應詞彙),
金針,(不是粵方言詞),
金蘭柚,(沒有對應詞彙),
金銀潤,(沒有對應詞彙),
金筍,胡蘿蔔,紅蘿蔔
金錢餅,(沒有對應詞彙),
金橘,(不是粵方言詞),
金腳帶,金環蛇,
感暑,中暑,
噉,這樣,這麼
噉頭,表示像...似的,...的樣子
噉就,那就,
噉樣,這樣,這麼
噉樣,這樣的,那樣的
錦菜,五柳料之一,
咁,這麼,那麼
咁多,這麼多,多少
咁大個仔,長這麼大,
咁滯,好像要...的樣子,差不多
,按,
下盅,俗指去茶樓飲茶,
鷓鴣,(沒有對應詞彙),
住頭,(沒有對應詞彙),
掣,按電鈕,按動開關
水,(沒有對應詞彙),
釘,圖釘,摁釘
風琴,彈奏風琴,
鐘,按鐘,
禁,耐久,受得住
禁死,不易死,
禁色,不易變色或褪色,
襟兄弟,連襟,
襟章,胸章,
青,緊張,毛躁
擒,攀登,攀爬
擒,(沒有對應詞彙),
蟧,(沒有對應詞彙),蜘蛛
蟧絲網,蜘蛛網,
蟝,蟾蜍,
扻,(用手掌)往下打,
扻波,扣球,
妗有,舅母,
妗母,舅母,
吟,喃喃,囉嗦
吟沉,喃喃自語,
撢,(不是粵方言詞),
撢穿袋,(不是粵方言詞),
含,(不是粵方言詞),
煔煔聲,(沒有對應詞彙),
扻,碰,撞
扻頭埋牆,(沒有對應詞彙),
坎,(沒有對應詞彙),
嵌,鑲嵌,
嵌,(沒有對應詞彙),
,嚴密,
賭,破獲聚賭場所,
轉,反扣過來,
盅,黑釉帶蓋的陶盅,
咸,全部,整個
庵堂,廟宇,寺廟
鵪鶉,一種鳥,
媕,勸說不已,攛掇
,用手掩,蓋
密鑼鼓,(沒有對應詞彙),
暗啞抵,吃啞巴虧,
暗瘡,粉刺,
音底,口音,鄉音
陰,(不是粵方言詞),
陰司紙,冥鈔,
陰氣,性格陰陰沉沉,不開朗
陰陰地,悄悄地,
陰陰凍,陰冷陰冷的,
陰乾,人漸漸瘦下去,
陰天,(不是粵方言詞),
陰冷,冷巷,
陰聲細氣,細聲細氣,低聲細語
陰功,造孽,活受罪
陰功鬼,指缺德的人,
陰濕,陰險,
陰騭,(不是粵方言詞),
陰毒,(不是粵方言詞),
檐口,屋檐下,屋檐
檐前仙姑,(沒有對應詞彙),
檐篷,遮雨篷,
飲,喝,
飲家,講究喝酒的人,精於喝酒的人
飲杯,喝一杯酒,
飲飽食醉,吃飽喝醉,酒足飯飽
飲頭啖湯,試頭水兒,拔頭籌
飲水尾,喝剩湯,
飲水飽,喝水以充飢,
飲新婦酒,喝喜酒,
飲清酒,喝寡酒,
飲薑酒,喝滿月酒,
飲筒,吸管兒,
飲得,很能喝酒,
飲得杯落,(沒有對應詞彙),
飲藥,委婉說法,
飲,略濕於水,以水慢慢滲入
飲桶,澆菜地用水桶,
點,怎麼,怎麼樣
點話,怎麼說的,
點話點好,說了算,怎樣說都可以
點知,怎麼知道,哪裏知道
點解,幹嗎,為什麼
點係,不敢當,表示過意不去
點算,怎麼辦,
點樣,怎樣,怎麼樣
點得,怎麼能,怎麼行
點,數,查對
點心,(沒有對應詞彙),
玷,輕觸,
玷手,用手碰,摸
掂,,直
掂喉吞,囫圇吞下去,
掂路,直路,順路
掂筆甩,筆直,
添,增加,
添補,(不是粵方言詞),
添飯,盛第二碗飯,
添食,(沒有對應詞彙),
甜椰椰,甜的發,
甜頭,(不是粵方言詞),
甜醋,添丁甜醋,
甜淰淰,甜絲絲兒的,
舔,(不是粵方言詞),
棯仔,岡棯,
拈,(不是粵方言詞),
黏,粘貼,
黏,似膠水的性質,
躡,踮起腳尖,
念,(不是粵方言詞),
念,(不是粵方言詞),
念口黃,讀死書,
,火焰燎,
鐮腳,內八腳的俗稱,
斂,收起,包捲
歛嘴歛,吃相不雅,
櫼,楔子,把楔子打入
占米,米,
尖嘴,一端是尖的,
尖筆甩,形容很尖,
,抽,拔
蟬蛻,蟬的殼,
閃,(不是粵方言詞),
閃閃令,亮光光,閃閃發亮
閃閃縮縮,躲躲閃閃,
閃電,打閃,
閃緞,(沒有對應詞彙),
閃爧,打閃,
兼,(不是粵方言詞),
兼且,並且,而且
兼開,間隔開,
兼祧子,(不是粵方言詞),
兼佮,而且,又...又
兼色,配色,
撿,拾,收拾
鉗,鉗子,鑷子
鉗,用鉗子夾物,
魽魚,一種無鱗魚,
謙,謙虛,謙遜
謙厚,謙虛,厚道
險,危險,
險過剃頭,危險之至,
閹,(沒有對應詞彙),
閹痘,種牛痘,
嫌,(不是粵方言詞),
嫌米貴,死了,
嫌棄,(不是粵方言詞),
嫌錢腥,(沒有對應詞彙),
檐蛇,壁虎,守宮
鹽焗雞,廣東名菜,
掩,(不是粵方言詞),
掩掩揚揚,(沒有對應詞彙),
厴,蟹臍甲,螺口甲
厭,膩味,厭煩
班房,教室,
板頸,脾氣倔強,
板障,房內的隔離板牆,單間板墻
板,(沒有對應詞彙),
扮,扮演,裝扮
扮野,裝模作樣,出風頭
扮傻,裝傻,充愣
扮靚,打扮,修飾
湴,爛泥,泥濘
湴,泥坑,
辦,辦理,處理
辦,樣品,貨樣
,攀登,拉引
車邊,捎帶腳,
蠻,蠻不講理,
蠻,蠻橫貌,
蠻鋹,蠻橫,野蠻
蠻橫,不講道理,蠻不講理
晚,夜晚,夜
晚禾,晚造稻子,晚稻
晚造,(不是粵方言詞),
